Input1, Input2, SplitOutput1, SplitOutput2, JunctionOutput
0,0,0,0,0.0
10,0,4.21,4.21,8.38
20,0,8.43,8.43,16.76
30,0,12.64,12.64,25.14
40,0,16.85,16.85,33.52
50,0,21.07,21.07,41.9
60,0,25.28,25.28,50.28
70,0,29.49,29.49,58.66
80,0,33.70,33.70,67.04
90,0,37.92,37.92,75.42
100,0,42.13,42.13,83.8
10,10,4.21,4.21,16.76
20,10,8.43,8.43,25.14
30,10,12.64,12.64,33.52
40,10,16.85,16.85,41.9
50,10,21.07,21.07,50.28
60,10,25.28,25.28,58.66
70,10,29.49,29.49,67.04
80,10,33.70,33.70,75.42
90,10,37.92,37.92,83.8
100,10,42.13,42.13,92.18
10,20,4.21,4.21,25.14
20,20,8.43,8.43,33.52
30,20,12.64,12.64,41.9
40,20,16.85,16.85,50.28
50,20,21.07,21.07,58.66
60,20,25.28,25.28,67.04
70,20,29.49,29.49,75.42
80,20,33.70,33.70,83.8
90,20,37.92,37.92,92.18
100,20,42.13,42.13,100.56
10,30,4.21,4.21,33.52
20,30,8.43,8.43,41.9
30,30,12.64,12.64,50.28
40,30,16.85,16.85,58.66
50,30,21.07,21.07,67.04
60,30,25.28,25.28,75.42
70,30,29.49,29.49,83.8
80,30,33.70,33.70,92.18
90,30,37.92,37.92,100.56
100,30,42.13,42.13,108.94
10,40,4.21,4.21,41.9
20,40,8.43,8.43,50.28
30,40,12.64,12.64,58.66
40,40,16.85,16.85,67.04
50,40,21.07,21.07,75.42
60,40,25.28,25.28,83.8
70,40,29.49,29.49,92.18
80,40,33.70,33.70,100.56
90,40,37.92,37.92,108.94
100,40,42.13,42.13,117.32
10,50,4.21,4.21,50.28
20,50,8.43,8.43,58.66
30,50,12.64,12.64,67.04
40,50,16.85,16.85,75.42
50,50,21.07,21.07,83.8
60,50,25.28,25.28,92.18
70,50,29.49,29.49,100.56
80,50,33.70,33.70,108.94
90,50,37.92,37.92,117.32
100,50,42.13,42.13,125.7
10,60,4.21,4.21,58.66
20,60,8.43,8.43,67.04
30,60,12.64,12.64,75.42
40,60,16.85,16.85,83.8
50,60,21.07,21.07,92.18
60,60,25.28,25.28,100.56
70,60,29.49,29.49,108.94
80,60,33.70,33.70,117.32
90,60,37.92,37.92,125.7
100,60,42.13,42.13,134.08
10,70,4.21,4.21,67.04
20,70,8.43,8.43,75.42
30,70,12.64,12.64,83.8
40,70,16.85,16.85,92.18
50,70,21.07,21.07,100.56
60,70,25.28,25.28,108.94
70,70,29.49,29.49,117.32
80,70,33.70,33.70,125.7
90,70,37.92,37.92,134.08
100,70,42.13,42.13,142.46
10,80,4.21,4.21,75.42
20,80,8.43,8.43,83.8
30,80,12.64,12.64,92.18
40,80,16.85,16.85,100.56
50,80,21.07,21.07,108.94
60,80,25.28,25.28,117.32
70,80,29.49,29.49,125.7
80,80,33.70,33.70,134.08
90,80,37.92,37.92,142.46
100,80,42.13,42.13,150.84
10,90,4.21,4.21,83.8
20,90,8.43,8.43,92.18
30,90,12.64,12.64,100.56
40,90,16.85,16.85,108.94
50,90,21.07,21.07,117.32
60,90,25.28,25.28,125.7
70,90,29.49,29.49,134.08
80,90,33.70,33.70,142.46
90,90,37.92,37.92,150.84
100,90,42.13,42.13,159.22
10,100,4.21,4.21,92.18
20,100,8.43,8.43,100.56
30,100,12.64,12.64,108.94
40,100,16.85,16.85,117.32
50,100,21.07,21.07,125.7
60,100,25.28,25.28,134.08
70,100,29.49,29.49,142.46
80,100,33.70,33.70,150.84
90,100,37.92,37.92,159.22
100,100,42.13,42.13,167.6